id,query1,query2
65,康尔佳益肺止咳胶囊可以治疗发烧吗？,康尔佳益肺止咳胶囊怎么服用？
66,立效止嗽立效丸是在医院购买吗？,立效止嗽立效丸药店有卖吗？
67,立效止嗽立效丸是在医院购买吗？,立效止嗽立效丸效果？
68,立效止嗽立效丸药店有卖吗？,立效止嗽立效丸效果？
69,抑扶健脾益肾颗粒的用量是多少？,抑扶健脾益肾颗粒如何服用？
70,抑扶健脾益肾颗粒的用量是多少？,抑扶健脾益肾颗粒的副作用是什么？
71,抑扶健脾益肾颗粒如何服用？,抑扶健脾益肾颗粒的副作用是什么？
72,肺结节是呼吸系统疾病吗,那种中成药可以治肺结节
73,肺结节是呼吸系统疾病吗,治疗肺结节需要手术吗
74,那种中成药可以治肺结节,治疗肺结节需要手术吗
75,益肺清化颗粒有什么作用,益肺清化颗粒主要成分是什么
76,益肺清化颗粒有什么作用,有肺结节可以吃益肺清化颗粒吗
77,益肺清化颗粒主要成分是什么,有肺结节可以吃益肺清化颗粒吗
78,肺癌做过化疗后还用输液吗,肺癌做过化疗后是不是需要加强营养
79,肺癌做过化疗后还用输液吗,肺癌做过化疗后需要注意什么
80,肺癌做过化疗后是不是需要加强营养,肺癌做过化疗后需要注意什么
81,肾阴虚的症状有哪些,肾阴虚吃什么食物能补
82,肾阴虚的症状有哪些,肾阴虚该怎样治疗
83,肾阴虚吃什么食物能补,肾阴虚该怎样治疗
84,荷叶丸属于中成药吗,荷叶丸有清热和化瘀的功效吗
85,荷叶丸属于中成药吗,荷叶丸是中药吗
86,荷叶丸有清热和化瘀的功效吗,荷叶丸是中药吗
87,秦巴止血胶囊可以治疗咳嗽吐血吗,鼻子出血可以吃秦巴止血胶囊吗
88,秦巴止血胶囊可以治疗咳嗽吐血吗,秦巴止血胶囊成分有哪些
89,鼻子出血可以吃秦巴止血胶囊吗,秦巴止血胶囊成分有哪些
90,秦巴止血胶囊能治各种出血吗,月经量大过多能吃秦巴止血胶囊吗
91,秦巴止血胶囊能治各种出血吗,秦巴止血胶囊治疗子宫肌瘤出血吗
92,月经量大过多能吃秦巴止血胶囊吗,秦巴止血胶囊治疗子宫肌瘤出血吗
93,阿斯美复方甲氧那明胶囊能长期服用吗,哮喘可以吃阿斯美复方甲氧那明胶囊吗
94,阿斯美复方甲氧那明胶囊能长期服用吗,肺癌患者吃那种药能缓解咳嗽症状吗
95,哮喘可以吃阿斯美复方甲氧那明胶囊吗,肺癌患者吃那种药能缓解咳嗽症状吗
96,长期服用阿斯美复方甲氧那明胶囊有哪些副作用,复方甲氧那明胶囊是治疗哮喘的常用药吗
97,长期服用阿斯美复方甲氧那明胶囊有哪些副作用,阿斯美复方甲氧那明胶囊还治那种病
98,复方甲氧那明胶囊是治疗哮喘的常用药吗,阿斯美复方甲氧那明胶囊还治那种病
99,肝癌患者可以把保健品代替药吗,西黄胶囊是中成药吗
100,肝癌患者可以把保健品代替药吗,肝癌患者可以长期服用西黄胶囊吗
101,西黄胶囊是中成药吗,肝癌患者可以长期服用西黄胶囊吗
102,百令胶囊和补肺活血胶囊都能治肺结核吗,百令胶囊和补肺活血胶囊能一起服用吗
103,百令胶囊和补肺活血胶囊都能治肺结核吗,百令胶囊和补肺活血胶囊都是中药吗
104,百令胶囊和补肺活血胶囊能一起服用吗,百令胶囊和补肺活血胶囊都是中药吗
105,达肺草能治疗肺纤维化吗,达肺草对于治疗急慢性呼吸道疾病效果怎么样
106,达肺草能治疗肺纤维化吗,达肺草属于中草药吗
107,达肺草对于治疗急慢性呼吸道疾病效果怎么样,达肺草属于中草药吗
108,脾胃不好的人可以吃同仁堂百补增力丸吗,同仁堂百补增力丸的成分有哪些
109,脾胃不好的人可以吃同仁堂百补增力丸吗,同仁堂百补增力丸是什么药
110,同仁堂百补增力丸的成分有哪些,同仁堂百补增力丸是什么药
111,气管炎可以吃百令胶囊吗,百令胶囊能长期吃吗
112,气管炎可以吃百令胶囊吗,百令胶囊的十大功效是什么
113,百令胶囊能长期吃吗,百令胶囊的十大功效是什么
114,百令胶囊适用多大年龄的人,各大药店能买到百令胶囊吗
115,百令胶囊适用多大年龄的人,感冒咳嗽能吃百令胶囊吗
116,各大药店能买到百令胶囊吗,感冒咳嗽能吃百令胶囊吗
117,小孩感冒咳嗽能吃富露施吗,多大的小孩可以吃富露施
118,小孩感冒咳嗽能吃富露施吗,患有哮喘的孩子可以吃富露施吗
119,多大的小孩可以吃富露施,患有哮喘的孩子可以吃富露施吗
120,百补增力丸适合儿童吃吧,百补增力丸主要用于开胃健脾吗
121,百补增力丸适合儿童吃吧,患有高血压可以吃百补增力丸吗
122,百补增力丸主要用于开胃健脾吗,患有高血压可以吃百补增力丸吗
123,断血流片适应症有哪些,断血流片是中药还是西药
124,断血流片适应症有哪些,吃断血流片忌口吗
125,断血流片是中药还是西药,吃断血流片忌口吗
126,两岁半宝宝感冒咳嗽能复方鲜竹沥液吗,复方鲜竹沥液成人一次喝多少毫升
127,两岁半宝宝感冒咳嗽能复方鲜竹沥液吗,宝宝扁桃体发炎能喝复方鲜竹沥液吗
128,复方鲜竹沥液成人一次喝多少毫升,宝宝扁桃体发炎能喝复方鲜竹沥液吗
129,感冒患者能用鸦胆子油软胶囊吗,鸦胆子油软胶囊是治疗什么病的
130,感冒患者能用鸦胆子油软胶囊吗,鸦胆子油软胶囊副作用大吗
131,鸦胆子油软胶囊是治疗什么病的,鸦胆子油软胶囊副作用大吗
132,只要是结核病都能吃补肺丸吗,补肺丸主要治那种病
133,只要是结核病都能吃补肺丸吗,肺内膜结核是怎么回事
134,补肺丸主要治那种病,肺内膜结核是怎么回事
135,百令胶囊可以长期服用吗,长期服用百令胶囊有什么危害
136,百令胶囊可以长期服用吗,百令胶囊禁忌高血压心脏病患者吗
137,长期服用百令胶囊有什么危害,百令胶囊禁忌高血压心脏病患者吗
138,鹤蟾片的功效有哪些,鹤蟾片用于哪些病症
139,鹤蟾片的功效有哪些,鹤蟾片是中药还是西药
140,鹤蟾片用于哪些病症,鹤蟾片是中药还是西药
141,肺结核可以吃大补阴丸吗,成人儿童都能服用大补阴丸吗
142,肺结核可以吃大补阴丸吗,大补阴丸对糖尿病有疗效吗
143,成人儿童都能服用大补阴丸吗,大补阴丸对糖尿病有疗效吗
144,怀孕的妈妈咳嗽可以吃同仁堂二母宁嗽丸吗,肺炎可以吃同仁堂二母宁嗽丸吗
145,怀孕的妈妈咳嗽可以吃同仁堂二母宁嗽丸吗,服用同仁堂二母宁嗽丸有什么注意事项吗
146,肺炎可以吃同仁堂二母宁嗽丸吗,服用同仁堂二母宁嗽丸有什么注意事项吗
147,大补阴丸各大药店有售吗,糖尿病患者吃大补阴丸的同时还可以吃别的药吗
148,大补阴丸各大药店有售吗,吃大补阴丸需要忌吃那种食物吗
149,糖尿病患者吃大补阴丸的同时还可以吃别的药吗,吃大补阴丸需要忌吃那种食物吗
150,雷氏大补阴丸有什么功效与作用,雷氏大补阴丸和大补阴丸的功效作用一样吗
151,雷氏大补阴丸有什么功效与作用,服用雷氏大补阴丸忌辛辣食物吗
152,雷氏大补阴丸和大补阴丸的功效作用一样吗,服用雷氏大补阴丸忌辛辣食物吗
153,富露施乙酰半胱氨酸颗粒是治疗慢性支气管炎的吗,富露施乙酰半胱氨酸颗粒能和牛奶一起喝吗
154,富露施乙酰半胱氨酸颗粒是治疗慢性支气管炎的吗,服用富露施乙酰半胱氨酸颗粒需要忌口吗
155,富露施乙酰半胱氨酸颗粒能和牛奶一起喝吗,服用富露施乙酰半胱氨酸颗粒需要忌口吗
156,银诺克利肺片能治肺结核吗,银诺克利肺片是不是中成药
157,银诺克利肺片能治肺结核吗,吃银诺克利肺片副作用大吗
158,银诺克利肺片是不是中成药,吃银诺克利肺片副作用大吗
159,什么体质的人群不宜立先裸花紫珠胶囊,立先裸花紫珠胶囊可用于呼吸道和消化道出血吗
160,什么体质的人群不宜立先裸花紫珠胶囊,急性传染性肝炎可以用立先裸花紫珠胶囊吗
161,立先裸花紫珠胶囊可用于呼吸道和消化道出血吗,急性传染性肝炎可以用立先裸花紫珠胶囊吗
162,葵花胃康灵胶囊是专治胃病的药吗,胃溃疡可以用胃康灵胶囊效果怎么样
163,葵花胃康灵胶囊是专治胃病的药吗,慢性浅表性胃炎可以服用葵花胃康灵胶囊吗
164,胃溃疡可以用胃康灵胶囊效果怎么样,慢性浅表性胃炎可以服用葵花胃康灵胶囊吗
165,有肺结节可以吃益肺清化颗粒吗,益肺清化颗粒有什么作用
166,有肺结节可以吃益肺清化颗粒吗,益肺清化颗粒能缓解肺癌的症状吗
167,益肺清化颗粒有什么作用,益肺清化颗粒能缓解肺癌的症状吗
168,哮喘患者禁止服用富露施吗,服用富露施可以治疗急性支气管炎吗
169,哮喘患者禁止服用富露施吗,富露施是一种祛痰药吗
170,服用富露施可以治疗急性支气管炎吗,富露施是一种祛痰药吗
171,百补增力丸可治疗腰腿疼痛消化不良吗,百补增力丸是中成药处方药吗
172,百补增力丸可治疗腰腿疼痛消化不良吗,可以长期服用百补增力丸吗
173,百补增力丸是中成药处方药吗,可以长期服用百补增力丸吗
174,服用达肺草需要注意什么吗,达肺草能和那种药同时服用
175,服用达肺草需要注意什么吗,达肺草治感冒咳嗽吗
176,达肺草能和那种药同时服用,达肺草治感冒咳嗽吗
177,达肺草是纯中药吗,服用达肺草有什么不良反应
178,达肺草是纯中药吗,患有肺癌，肺结核的病人都能服用达肺草吗
179,服用达肺草有什么不良反应,患有肺癌，肺结核的病人都能服用达肺草吗
180,服用达肺草可以治什么病,患有三高的病人能服用达肺草吗
181,服用达肺草可以治什么病,气管炎的患者需要服用达肺草吗
182,患有三高的病人能服用达肺草吗,气管炎的患者需要服用达肺草吗
183,哮喘病人可以服用达肺草吗,服用达肺草能吃辛辣油腻的食物吗
184,哮喘病人可以服用达肺草吗,肺癌病人可以长期服用达肺草吗
185,服用达肺草能吃辛辣油腻的食物吗,肺癌病人可以长期服用达肺草吗
186,咳血能服用达肺草吗,服用达肺草的同时能吃别的药吗
187,咳血能服用达肺草吗,达肺草能治疗肺纤维化吗
188,服用达肺草的同时能吃别的药吗,达肺草能治疗肺纤维化吗
189,达肺草治疗慢性支气管炎效果如何,达肺草痰治疗哮喘效果怎么样
190,达肺草治疗慢性支气管炎效果如何,服用达肺草在饮食上有什么要求吗
191,达肺草痰治疗哮喘效果怎么样,服用达肺草在饮食上有什么要求吗
192,儿童支原体肺炎复发率高不？,支原体肺炎可以自愈吗？
193,儿童支原体肺炎复发率高不？,小儿支原体肺炎好治不？
194,支原体肺炎可以自愈吗？,小儿支原体肺炎好治不？
195,支原体肺炎打几天红霉素能好嘛？,支原体肺炎用头孢吗？
196,支原体肺炎打几天红霉素能好嘛？,支原体肺炎治疗要多长时间用红霉素？
197,支原体肺炎用头孢吗？,支原体肺炎治疗要多长时间用红霉素？
198,肺炎支原体阳性的症状有哪些？,肺炎支原体阳性传染么？
199,肺炎支原体阳性的症状有哪些？,肺炎支原体衣原体阳性是什么意思？
200,肺炎支原体阳性传染么？,肺炎支原体衣原体阳性是什么意思？
201,支原体肺炎有哪些治疗措施？,支原体肺炎有哪些好的疗法？
202,支原体肺炎有哪些治疗措施？,支原体肺炎检查有哪些？
203,支原体肺炎有哪些好的疗法？,支原体肺炎检查有哪些？
204,肺炎支原体感染症状是什么？,什么是肺炎支原体感染？
205,肺炎支原体感染症状是什么？,肺炎支原体感染需要住院吗？
206,什么是肺炎支原体感染？,肺炎支原体感染需要住院吗？
207,小孩支原体肺炎的症状有哪些啊？,小孩支原体肺炎严重吗？
208,小孩支原体肺炎的症状有哪些啊？,小孩支原体肺炎多久能好？
209,小孩支原体肺炎严重吗？,小孩支原体肺炎多久能好？
210,支原体肺炎是什么？,支原体肺炎怎么诊断？
211,支原体肺炎是什么？,得支原体肺炎传染吗？
212,支原体肺炎怎么诊断？,得支原体肺炎传染吗？
213,肺炎支原体弱阳性怎么治疗？,儿童肺炎支原体抗体弱阳性严重吗？
214,肺炎支原体弱阳性怎么治疗？,儿童肺炎支原体抗体阳性吃什么药？
215,儿童肺炎支原体抗体弱阳性严重吗？,儿童肺炎支原体抗体阳性吃什么药？
216,支原体肺炎康复期咳嗽怎么办？,支原体感染肺炎好治疗吗？
217,支原体肺炎康复期咳嗽怎么办？,小孩支原体肺炎咳嗽可以吃鸽子吗？
218,支原体感染肺炎好治疗吗？,小孩支原体肺炎咳嗽可以吃鸽子吗？
219,孩子支原体咳嗽有什么按摩方法？,孩子支原体咳嗽怎么回事？
220,孩子支原体咳嗽有什么按摩方法？,孩子支原体咳嗽吃什么好？
221,孩子支原体咳嗽怎么回事？,孩子支原体咳嗽吃什么好？
222,小儿支原体肺炎一般如何医治？,小孩支原体肺炎严重吗？
223,小儿支原体肺炎一般如何医治？,小孩支原体肺炎饮食上吃什么好？
224,小孩支原体肺炎严重吗？,小孩支原体肺炎饮食上吃什么好？
225,小孩子得了支原体肺炎会传染吗？,得了支原体肺炎有什么症状？
226,小孩子得了支原体肺炎会传染吗？,支原体肺炎能治好吗？
227,得了支原体肺炎有什么症状？,支原体肺炎能治好吗？
228,小儿支原体肺炎的后果是什么？,小儿支原体肺炎症状有哪些？
229,小儿支原体肺炎的后果是什么？,小儿支原体肺炎如何预防？
230,小儿支原体肺炎症状有哪些？,小儿支原体肺炎如何预防？
231,肺炎衣原体与肺炎支原体有什么区别？,肺炎支原体培养及药敏的检验单怎么看？
232,肺炎衣原体与肺炎支原体有什么区别？,小儿支原体与小儿支原体肺炎相同吗？
233,肺炎支原体培养及药敏的检验单怎么看？,小儿支原体与小儿支原体肺炎相同吗？
234,宝宝肺炎支原体感染多久能好？,宝宝肺炎支原体感染要住院?
235,宝宝肺炎支原体感染多久能好？,宝宝肺炎支原体感染用什么方法治疗？
236,宝宝肺炎支原体感染要住院?,宝宝肺炎支原体感染用什么方法治疗？
237,支原体肺炎表现有哪些？,支原体肺炎可以自愈吗？
238,支原体肺炎表现有哪些？,肺炎支原体感染症状是什么？
239,支原体肺炎可以自愈吗？,肺炎支原体感染症状是什么？
240,"肺炎支原体,需要怎么治疗？",支原体肺炎抽血检查要空腹吗？
241,"肺炎支原体,需要怎么治疗？",如何看支原体肺炎检查报告？
242,支原体肺炎抽血检查要空腹吗？,如何看支原体肺炎检查报告？
243,顺尔宁有什么副作用？,支原体肺炎有什么症状？
244,顺尔宁有什么副作用？,治疗支原体肺炎的方法有哪些?
245,支原体肺炎有什么症状？,治疗支原体肺炎的方法有哪些?
246,小儿支原体肺炎怎么治？,小儿支原体肺炎怎么办？
247,小儿支原体肺炎怎么治？,什么是肺炎支原体感染？
248,小儿支原体肺炎怎么办？,什么是肺炎支原体感染？
249,请问支原体感染有什么症状？,发高烧肺炎支原体感染怎么治疗？
250,请问支原体感染有什么症状？,肺炎支原体发烧几天？
251,发高烧肺炎支原体感染怎么治疗？,肺炎支原体发烧几天？
252,发高烧肺炎支原体感染怎么治疗？,肺炎支原体发高烧严重吗？
253,肺炎支原体发烧几天？,肺炎支原体发高烧严重吗？
254,肺炎支原体发烧几天？,肺炎支原体发高烧能吃退烧药吗？
255,肺炎支原体发高烧严重吗？,肺炎支原体发高烧能吃退烧药吗？
256,肺炎支原体发高烧严重吗？,肺炎支原体有什么症状？
257,肺炎支原体发高烧能吃退烧药吗？,肺炎支原体有什么症状？
258,肺炎支原体弱阳性是什么意思？,肺炎支原体弱阳性有什么症状？
259,肺炎支原体弱阳性是什么意思？,肺炎支原体弱阳性能治愈吗？
260,肺炎支原体弱阳性有什么症状？,肺炎支原体弱阳性能治愈吗？
261,小儿支原体肺炎必须输液吗？,支原体肺炎早期症状有哪些?
262,小儿支原体肺炎必须输液吗？,支原体肺炎怎么检查呢？
263,支原体肺炎早期症状有哪些?,支原体肺炎怎么检查呢？
264,支原体肺炎吃阿奇霉素有副作用吗？,小孩支原体肺炎对阿奇霉素有依赖吗？
265,支原体肺炎吃阿奇霉素有副作用吗？,支原体肺炎是用阿奇霉素吗？
266,小孩支原体肺炎对阿奇霉素有依赖吗？,支原体肺炎是用阿奇霉素吗？
267,小孩支原体肺炎对阿奇霉素有依赖吗？,儿童支原体肺炎阿奇霉素会有副作用吗？
268,支原体肺炎是用阿奇霉素吗？,儿童支原体肺炎阿奇霉素会有副作用吗？
269,支原体肺炎是用阿奇霉素吗？,儿童支原体肺炎吃阿奇霉素过量了怎么办？
270,儿童支原体肺炎阿奇霉素会有副作用吗？,儿童支原体肺炎吃阿奇霉素过量了怎么办？
271,儿童支原体肺炎阿奇霉素会有副作用吗？,儿童支原体肺炎吃什么药好？
272,儿童支原体肺炎吃阿奇霉素过量了怎么办？,儿童支原体肺炎吃什么药好？
273,五岁宝宝咳嗽支原体肺炎吃什么药呢？,宝宝发烧肺炎支原体是阳性怎么办？
274,五岁宝宝咳嗽支原体肺炎吃什么药呢？,肺炎支原体感染也会发热?
275,宝宝发烧肺炎支原体是阳性怎么办？,肺炎支原体感染也会发热?
276,小儿支原体肺炎有什么症状呢？,小儿支原体肺炎常见吗？
277,小儿支原体肺炎有什么症状呢？,小儿支原体肺炎难治吗？
278,小儿支原体肺炎常见吗？,小儿支原体肺炎难治吗？
279,支原体感染能断根吗？,小儿支原体肺炎有什么症状呢？
280,支原体感染能断根吗？,小儿支原体肺炎传染吗？
281,小儿支原体肺炎有什么症状呢？,小儿支原体肺炎传染吗？
282,小孩支原体肺炎怎么办？,儿童支原体肺炎会传染吗？
283,小孩支原体肺炎怎么办？,孩子支原体肺炎好了后如何增加营养？
284,儿童支原体肺炎会传染吗？,孩子支原体肺炎好了后如何增加营养？
285,支原体和衣原体是怎么感染的？,支原体感染和衣原体感染有什么区别？
286,支原体和衣原体是怎么感染的？,儿童支原体衣原体感染的症状是什么？
287,支原体感染和衣原体感染有什么区别？,儿童支原体衣原体感染的症状是什么？
288,小儿支原体肺炎严重吗？,小儿支原体肺炎有什么症状呢？
289,小儿支原体肺炎严重吗？,小儿支原体肺炎的注意事项是什么？
290,小儿支原体肺炎有什么症状呢？,小儿支原体肺炎的注意事项是什么？
291,常吃太儿欣罗红霉素干混悬剂有什么样的副作用？,六个月宝宝吃太儿欣罗红霉素吐了正常吗？
292,常吃太儿欣罗红霉素干混悬剂有什么样的副作用？,罗红霉素对小孩眼睛有刺激吗？
293,六个月宝宝吃太儿欣罗红霉素吐了正常吗？,罗红霉素对小孩眼睛有刺激吗？
294,治疗支原体肺炎的方法有哪些?,支原体肺炎有什么症状？
295,治疗支原体肺炎的方法有哪些?,支原体肺炎会发生病变吗？
296,支原体肺炎有什么症状？,支原体肺炎会发生病变吗？
297,小儿支原体肺炎咳嗽怎么办？,小儿支原体肺炎咳嗽的病因是什么？
298,小儿支原体肺炎咳嗽怎么办？,小儿支原体肺炎咳嗽怎么治？
299,小儿支原体肺炎咳嗽的病因是什么？,小儿支原体肺炎咳嗽怎么治？
300,支原体肺炎怎么治?,支原体肺炎有哪些症状?
301,支原体肺炎怎么治?,支原体肺炎有潜伏期吗?
302,支原体肺炎有哪些症状?,支原体肺炎有潜伏期吗?
303,小儿支原体肺炎会引发咳嗽吗？,小儿支原体肺炎有哪些症状？
304,小儿支原体肺炎会引发咳嗽吗？,如何治疗小儿支原体肺炎？
305,小儿支原体肺炎有哪些症状？,如何治疗小儿支原体肺炎？
306,支原体肺炎伴轻微哮喘怎么治?,哮喘被误诊成支原体肺炎的原因是什么？
307,支原体肺炎伴轻微哮喘怎么治?,哮喘治疗有什么其他的中医方法吗？
308,哮喘被误诊成支原体肺炎的原因是什么？,哮喘治疗有什么其他的中医方法吗？
309,肺炎支原体感染的症状是什么？,宝宝支原体肺炎感染有什么方法治疗？
310,肺炎支原体感染的症状是什么？,婴儿支原体肺炎的症状有哪些？
311,宝宝支原体肺炎感染有什么方法治疗？,婴儿支原体肺炎的症状有哪些？
312,支原体小儿肺炎有哪些症状？,怎么治疗支原体小儿肺炎？
313,支原体小儿肺炎有哪些症状？,支原体小儿肺炎能吃什么药？
314,怎么治疗支原体小儿肺炎？,支原体小儿肺炎能吃什么药？
315,阿奇霉素适合什么人群服用？,婴儿吃阿奇霉素会有什么不良反应吗？
316,阿奇霉素适合什么人群服用？,阿奇霉素能治好小儿支原体肺炎吗？
317,婴儿吃阿奇霉素会有什么不良反应吗？,阿奇霉素能治好小儿支原体肺炎吗？
318,婴儿支原体肺炎的症状有哪些？,宝宝支原体肺炎怎么治疗？
319,婴儿支原体肺炎的症状有哪些？,宝宝得了肺炎，为什么要查衣原体和支原体？
320,宝宝支原体肺炎怎么治疗？,宝宝得了肺炎，为什么要查衣原体和支原体？
321,小儿支原体肺炎有哪些治疗方法？,小儿支原体肺炎是什么病？
322,小儿支原体肺炎有哪些治疗方法？,小儿支原体肺炎饮食需要注意什么？
323,小儿支原体肺炎是什么病？,小儿支原体肺炎饮食需要注意什么？
324,小儿支原体肺炎能否自愈？,小儿支原体肺炎吃什么药效果好？
325,小儿支原体肺炎能否自愈？,小儿肺炎支原体严重吗？
326,小儿支原体肺炎吃什么药效果好？,小儿肺炎支原体严重吗？
327,小儿支原体肺炎有哪些症状？,小儿支原体肺炎是什么病？
328,小儿支原体肺炎有哪些症状？,小儿支原体肺炎能根治吗？
329,小儿支原体肺炎是什么病？,小儿支原体肺炎能根治吗？
330,小儿支原体肺炎饮食需要注意什么？,小儿支原体肺炎有什么症状？
331,小儿支原体肺炎饮食需要注意什么？,小儿支原体肺炎能吃什么药？
332,小儿支原体肺炎有什么症状？,小儿支原体肺炎能吃什么药？
333,小儿肺炎支原体阳性输液几天能康复？,小儿支原体肺炎治愈标准是什么？
334,小儿肺炎支原体阳性输液几天能康复？,支原体肺炎治愈后会复发吗？
335,小儿支原体肺炎治愈标准是什么？,支原体肺炎治愈后会复发吗？
336,小儿支原体肺炎有哪些症状？,如何诊断小儿支原体肺炎？
337,小儿支原体肺炎有哪些症状？,小儿支原体肺炎吃什么食物合适？
338,如何诊断小儿支原体肺炎？,小儿支原体肺炎吃什么食物合适？
339,怎么治疗小儿支原体肺炎？,小儿支原体肺炎会传染吗？
340,怎么治疗小儿支原体肺炎？,小儿支原体肺炎吃什么药有效果？
341,小儿支原体肺炎会传染吗？,小儿支原体肺炎吃什么药有效果？
342,如何诊断小儿支原体肺炎？,怎么治疗小儿支原体肺炎？
343,如何诊断小儿支原体肺炎？,小儿支原体肺炎如何食疗？
344,怎么治疗小儿支原体肺炎？,小儿支原体肺炎如何食疗？
345,小儿支原体肺炎怎么预防？,治疗小儿支原体肺炎有什么方法？
346,小儿支原体肺炎怎么预防？,小儿支原体肺炎有哪些病症？
347,治疗小儿支原体肺炎有什么方法？,小儿支原体肺炎有哪些病症？
